stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
spooks	1.n. 幽灵（spook的复数形式） 
questionable	1.adj. 可疑的；有问题的 
describing	1.v. 描述；表示（describe的ing形式） 2.adj. 描述的 
bureaucratic	1.adj. 官僚的；官僚政治的 
bay	1.n. 海湾；狗吠声 2.vt. 向…吠叫 3.vi. 吠叫；大声叫嚷 4.n. (Bay)人名；(越)七；(英、老)贝；(德、意、罗、捷、土、丹)巴伊；(匈)鲍伊；(瑞典)巴伊 
furious	1.adj. 激烈的；狂怒的；热烈兴奋的；喧闹的 
part-time	1.adj. 兼职的；部分时间的 2.adv. 兼职地；用部分时间地 
marine	1.n. 海运业；舰队；水兵；（海军）士兵或军官 2.adj. 船舶的；海生的；海产的；航海的，海运的 3.n. (Marine)人名；(西)马里内；(英)马林 
rape	1.n. 强奸，掠夺；[园艺] 油菜；葡萄渣 2.vt. 强奸；掠夺，抢夺 3.vi. 犯强奸罪 
knowing	1.n. 认知 2.v. 知道；认识；确信（know的ing形式） 3.adj. 博学的；狡猾的；心照不宣的 
restored	1.v. 修复（restore的过去式）；恢复健康 2.adj. 精力充沛的；精力恢复的 
crunch	1.n. 咬碎，咬碎声；扎扎地踏 2.vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过 3.vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过 
Fannie	1.n. 房利美（房产经济公司）；范妮（女子名，等于Frances） 
longer-term	
colleague	1.n. 同事，同僚 
Alaska	1.n. 阿拉斯加州 
Maryland	1.n. 马里兰（美国州名） 
maintaining	1.n. 维护；保养 2.v. 维持；保养（maintain的ing形式） 
Havana	1.n. 哈瓦那（古巴城市）；哈瓦那雪茄烟 
meagre	1.adj. 瘦的；贫弱的；贫乏的 
investigated	1.v. 研究（investigate的过去分词）；调查 2.adj. 研究的；调查的 
pursuit	1.n. 追赶，追求；职业，工作 
evil	1.n. 罪恶，邪恶；不幸 2.adj. 邪恶的；不幸的；有害的；讨厌的 
newcomers	1.n. 新来的人（newcomer的复数） 
broadcaster	1.n. 广播公司；广播员；播送设备；撒播物 
Following	1.n. 下列事物；一批追随者 2.v. 跟随；沿行（follow的ing形式） 3.adj. 下面的；其次的，接着的 
thick	1.n. 最拥挤部分；活动最多部分；事物的粗大浓密部分 2.adj. 厚的；浓的；粗大的 3.adv. 密集地；浓浓地，厚厚地 4.n. (Thick)人名；(英)西克 
barricade	1.n. 街垒；路障；争论之处 2.vt. 设路障；阻碍 
attending	1.adj. （医生）主治的 2.v. 参加（attend的现在分词）；注意，听；照顾；[常用被动语态]（作为结果、情况）伴随 
reassure	1.vt. 使…安心，使消除疑虑 
second-biggest	
acknowledges	1.v. 承认（acknowledge的第三人称单数形式） 
stressed	1.v. 强调（stress的过去分词）；给…加压力 2.adj. 紧张的；感到有压力的 
Poles	1.n. 极点（pole的复数形式）；雪杖；杆位次数 2.n. (Poles)人名；(德、捷)波勒斯 
patronage	1.n. 赞助；光顾；任免权 
Strasbourg	1.n. 斯特拉斯堡（法国东北部城市） 
Sturgeon	1.n. 鲟鱼 2.n. (Sturgeon)人名；(英)斯特金 
immigrant	1.n. 移民，侨民 2.adj. 移民的；迁入的 
irrelevant	1.adj. 不相干的；不切题的 
bribery	1.n. [法] 贿赂；受贿；行贿 
attempting	1.n. 企图，试图；攻击 2.vt. 企图，试图；尝试 
effectiveness	1.n. 效力 
accidents	1.n. [安全] 事故（accident的复数）；[安全] 意外事故 
switching	1.n. [电] 开关；转换；整流；配电 2.v. 转换（switch的ing形式） 
publishers	1.n. 出版商，出版公司；出版社（publisher的复数） 
Property	1.n. 性质，性能；财产；所有权 
renewables	1.n. 可再生能源（renewable的复数） 
foster	1.vt. 培养；养育，抚育；抱（希望等） 2.adj. 收养的，养育的 3.n. (Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特 
Marco	1.n. 马尔科（人名）；显示地图；展现地图 
merchants	1.n. [贸易] 商人（merchant的复数） 
suburban	1.n. 郊区居民 2.adj. 郊区的，城郊的；土气的；见闻不广的 
drift	1.n. 漂流，漂移；趋势；漂流物 2.vi. 漂流，漂移；漂泊 3.vt. 使…漂流；使…受风吹积 
Campos	1.n. 热带草原 2.n. (Campos)人名；(法、西、葡、英)坎波斯 
scarcely	1.adv. 几乎不，简直不；简直没有 
reconciliation	1.n. 和解；调和；和谐；甘愿 
Gary	
confusion	1.n. 混淆，混乱；困惑 
employer	1.n. 雇主，老板 
accusing	1.v. 指责；指控（accuse的ing形式） 2.adj. 指责的；非难的；归咎的 
translation	1.n. 翻译；译文；转化；调任 
Cristina	1.n. 克里斯蒂娜（电视剧中的人物） 
taxation	1.n. 课税，征税；税款 
Seoul	1.n. 汉城，首尔（韩国首都） 
refer	1.vt. 涉及；委托；归诸于；使…求助于 2.vi. 参考；涉及；提到；查阅 
hatred	1.n. 憎恨；怨恨；敌意 
duly	1.adv. 适当地；充分地；按时地 2.n. (Duly)人名；(英)杜利 
referring	1.v. 谈及；提交；谘询（refer的ing形式） 
opposing	1.v. 反对（oppose的ing形式） 2.adj. 反对的；相对的；对面的 
confront	1.vt. 面对；遭遇；比较 
disappointment	
sake	1.n. 目的；利益；理由；日本米酒 2.n. (Sake)人名；(罗)萨克；(日)酒(姓) 
subtle	1.adj. 微妙的；精细的；敏感的；狡猾的；稀薄的 
communication	1.n. 通讯，[通信] 通信；交流 
Burmese	1.n. 缅甸人；缅甸语 2.adj. 缅甸的；缅甸人的；缅甸语的 
pundit	1.n. 博学者；梵文学者 
consortium	1.n. 财团；联合；合伙 
pocket	1.n. 口袋；钱；容器 2.adj. 小型的，袖珍的；金钱上的 3.vt. 隐藏；忍受；将…放入衣袋 4.vi. 形成袋或囊 
opt	1.vi. 选择 
distinction	1.n. 区别；差别；特性；荣誉、勋章 
nightmare	1.n. 恶梦；梦魇般的经历 2.adj. 可怕的；噩梦似的 
Criminal	1.n. 罪犯 2.adj. 刑事的；犯罪的；罪恶的 
employee	1.n. 雇员；从业员工 
Piketty	1.n. (Piketty)人名；(法)皮凯蒂 
Italia	1.n. 意大利 
lesser	1.adj. 较少的；次要的；更小的 2.adv. 较少地；更小地；不及 3.n. (Lesser)人名；(英、德)莱塞 
pursuing	1.n. 追求；追逐；追赶 2.v. 从事；追赶（pursue的ing形式） 
mayoral	1.adj. 市长的 2.n. (Mayoral)人名；(西)马约拉尔 
Christianity	1.n. 基督教；基督教精神，基督教教义 
Soon	1.adv. 快；不久，一会儿；立刻；宁愿 
cops	1.n. 警察（cop的复数）；顶；纬管 2.v. 抓住；受贿；偷窃（cop的三单形式） 
curious	1.adj. 好奇的，有求知欲的；古怪的；爱挑剔的 
writers	1.n. 作家；[图情] 作者（writer的复数） 
weaknesses	1.n. 劣势，弱点；[审计] 薄弱环节（weakness的复数形式） 
crown	1.n. 王冠；花冠；王权；顶点 2.vt. 加冕；居…之顶；表彰；使圆满完成 3.n. (Crown)人名；(英)克朗 
raid	1.n. 袭击；突袭；搜捕；抢劫 2.vt. 袭击，突袭 3.vi. 对…进行突然袭击 4.n. (Raid)人名；(阿拉伯)拉伊德 
Savarkar	
humanitarian	1.n. 人道主义者；慈善家；博爱主义者；基督凡人论者 2.adj. 人道主义的；博爱的；基督凡人论的 
Salman	1.n. 萨尔曼（男子名） 
wholly	1.adv. 完全地；全部；统统 
disruptive	1.adj. 破坏的；分裂性的；制造混乱的 
reliant	1.adj. 依赖的；可靠的；信赖的 
Blasio	1.n. (Blasio)人名；(意、英)布拉西奥 
notorious	1.adj. 声名狼藉的，臭名昭著的 
curbing	1.n. 边石的材料；边石 
Institution	1.n. 制度；建立；（社会或宗教等）公共机构；习俗 
exceptions	1.n. 免责条款（exception的复数形式） 
charismatic	1.adj. 超凡魅力的；神赐能力的 
intervention	1.n. 介入；调停；妨碍 
Vestager	
Amnesty	1.n. 大赦，特赦 2.vt. 对…实行大赦 
Initiative	1.n. 主动权；首创精神 2.adj. 主动的；自发的；起始的 
Peshmerga	
Mecca	1.n. 麦加（沙特阿拉伯一座城市）；众人渴望去的地方 
Ackman	
Internal	1.adj. 内部的；内在的；国内的 
NCAA	1.abbr. （美国）全国大学生体育协会（National Collegiate Athletic Association） 
fibres	1.n. [材] 纤维；[植] 须根（fibre的复数） 
convergence	1.n. [数] 收敛；会聚，集合 2.n. (Convergence)人名；(法)孔韦尔让斯 
healthcare	1.n. 医疗保健；健康护理，健康服务；卫生保健 
gunmen	1.n. 枪手；制造枪械者；持枪的歹徒 
Michelle	1.n. 米歇尔（女子名） 
concede	1.vi. 让步 2.vt. 承认；退让；给予，容许 
pending	1.prep. 在…期间；直到…时为止；在等待…之际 2.v. 待定；悬而不决（pend的ing形式） 3.adj. 未决定的；行将发生的 4.n. (Pending)人名；(瑞典)彭丁 
Noble	1.n. 贵族 2.adj. 高尚的；贵族的；惰性的；宏伟的 3.vt. 抓住；逮捕 4.n. (Noble)人名；(英、法、意)诺布尔；(西)诺夫莱；(阿拉伯)努布莱 
slashing	1.n. 猛砍；鞭打 2.adj. 猛烈的；严厉的；冲劲十足的；巨大的 
Eurosceptics	
traffickers	1.n. 贩毒者（trafficker的复数） 
responsibilities	1.n. 责任；职责（responsibility的复数） 
hacking	1.v. 砍；出租（hack的ing形式） 2.adj. 骑马的 3.n. (Hacking)人名；(英)哈金 
males	1.n. 雄性（male的复数）；壮丁 2.n. (Males)人名；(罗)马莱斯 
pervasive	1.adj. 普遍的；到处渗透的；流行的 
fabric	1.n. 织物；布；组织；构造；建筑物 
non-financial	1.非财务性的，非金融类的 
triggering	1.n. [电子] 触发；起动 2.v. 引起（trigger的ing形式）；扣…的扳机 
facto	1.adj. 事实上的，实际上的 
cult	1.n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒 2.adj. 狂热崇拜的 
liable	1.adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的 
assigned	1.v. 分配（assign的过去分词）；指定；委派 2.adj. 指定的；已分配的 
superior	1.n. 上级，长官；优胜者，高手；长者 2.adj. 上级的；优秀的，出众的；高傲的 
Progressive	1.n. 改革论者；进步分子 2.adj. 进步的；先进的 
outsourcing	1.n. 外包；外购；外部采办 
norms	1.n. [标准] 标准，规范；基准（norm复数形式） 
tangled	1.adj. 紊乱的；纠缠的；缠结的；复杂的 
structured	1.adj. 有结构的；有组织的 2.v. 组织；构成（structure的过去分词）；建造 
upgraded	1.v. 升级；改善（upgrade的过去分词） 2.adj. 提升的；更新的；加固的 
State-owned	1.adj. 国有的；国营的；州立的 
miracle	1.n. 奇迹，奇迹般的人或物；惊人的事例 2.n. (Miracle)人名；(英)米勒克尔；(意、西)米拉克莱 
lining	1.n. 衬里；内层；衬套 
dismay	1.n. 沮丧，灰心；惊慌 2.vt. 使沮丧；使惊慌 
purity	1.n. [化学] 纯度；纯洁；纯净；纯粹 2.n. (Purity)人名；(肯)普丽蒂 
peripheral	1.adj. 外围的；次要的；（神经）末梢区域的 2.n. 外部设备 
postal	1.n. 明信片 2.adj. 邮政的；邮局的 
instincts	1.n. [生物] 本能（instinct的复数）；[心理] 直觉 
rulings	1.adj. 统治的；主要的；支配的；流行的，普遍的 2.n. 统治，支配；裁定 
Convention	1.n. 大会；[法] 惯例；[计] 约定；[法] 协定；习俗 
blunt	1.adj. 钝的，不锋利的；生硬的；直率的 2.vt. 使迟钝 3.n. (Blunt)人名；(英)布伦特 
sink	1.n. 水槽；洗涤槽；污水坑 2.vi. 下沉；消沉；渗透 3.vt. 使下沉；挖掘；使低落 4.n. (Sink)人名；(英、瑞典)辛克 
edges	1.n. [地质] 边缘；边界；优势（edge的复数） 2.v. 挤进；侧身移动（edge的三单形式） 
servant	1.n. 仆人，佣人；公务员；雇工 2.n. (Servant)人名；(西)塞尔万特；(法)塞尔旺 
coherent	1.adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相偶合的；粘在一起的 
ignore	1.vt. 驳回诉讼；忽视；不理睬 
destined	1.v. 注定（destine的过去式和过去分词） 2.adj. 注定的；命定的；去往…的 
rebound	1.n. 回弹；篮板球 2.v. 重新装订（rebind的过去式和过去分词） 3.vt. 使弹回 4.vi. 回升；弹回 
canny	1.n. (Canny)人名；(英)坎尼 2.adj. 精明的，谨慎的；节约的 
maximise	1.vt. 把…增加到最大限度；尽量增大（等于maximize） 
disrupted	1.破坏 2.使瓦解 3.使分裂 4.使中断 5.使陷于混乱（disrupt的过去分词形式） 
crowdfunding	
contacts	1.n. 联系人；联络方式；触体；隐形眼镜（contact的复数形式） 2.v. 接触，联系（contact的第三人称单数形式） 
Bridge	1.n. 桥；桥牌；桥接器；船桥 2.vt. 架桥；渡过 3.n. (Bridge)人名；(英)布里奇 
exceptional	1.n. 超常的学生 2.adj. 异常的，例外的 
bumper	1.n. 缓冲器，保险杆，减震物 2.adj. 丰盛的，丰富的 3.vt. 装满；为…祝酒 4.vi. 干杯 
creeping	1.n. 爬行 2.v. 爬行；慢慢地移动（creep的现在分词） 3.adj. 爬行的；迟缓的；毛骨悚然的；奉承的 
Walter	1.n. 飞机应急雷达发射机 
Dodd-Frank	
ethnicity	1.n. 种族划分 
bailed	1.[法] 保释 2.帮助脱离困境（bail的过去式和过去分词） 
trimming	1.n. 整理；装饰品；配料；修剪下来的东西 
arise	1.vi. 出现；上升；起立 2.n. (Arise)人名；(西)阿里塞；(日)在濑(姓) 
rovers	1.n. 巡游者；海上掠夺 
Smaller	1.adj. 较小，更小的 
wore	1.v. 穿（衣服等）；戴（首饰等）；装着（wear的过去式） 
mantra	1.n. 咒语（尤指四吠陀经典内作为咒文或祷告唱念的）；颂歌 2.n. (Mantra)人名；(印尼)曼特拉 
middle-income	1.adj. 中等收入的 
admissions	1.n. 许可；承认；入会费；入场券（admission的复数形式） 
injury	1.n. 伤害，损害；受伤处 
havoc	1.n. 大破坏；浩劫；蹂躏 2.vt. 严重破坏 3.vi. 损毁 4.n. (Havoc)人名；(英)哈沃克 
modernising	1.vi. 现代化（等于modernize） 2.vt. 使…现代化（等于modernize） 
rubber	1.n. 橡胶；橡皮；合成橡胶；按摩师 2.adj. 橡胶制成的 3.vt. 涂橡胶于；用橡胶制造 4.vi. 扭转脖子看；好奇地引颈而望 5.n. (Rubber)人名；(西)鲁韦尔 
Budapest	1.n. 布达佩斯（匈牙利的首都） 
Brent	1.n. 黑雁 2.布伦特(英国英格兰东南部城市) 
louder	1.adv. 大声一点 
PSDB	
bloated	1.adj. 发胀的，浮肿的；傲慢的 2.v. 肿胀，得意（bloat的过去时形式） 
dogged	1.adj. 顽强的；顽固的 2.vt. 跟踪；尾随（dog的过去式） 
pretend	1.vt. 假装，伪装，模拟 2.adj. 假装的 3.vi. 假装，伪装，佯装 
comfortably	1.adv. 舒服地；安乐地；充裕地 
dismantle	1.vt. 拆除；取消；解散；除掉…的覆盖物 2.vi. 可拆卸 
nominate	1.vt. 推荐；提名；任命；指定 
wire	1.n. 电线；金属丝；电报 2.vt. 拍电报；给…装电线 3.vi. 打电报 4.n. (Wire)人名；(英)怀尔 
incompetence	1.n. 无资格，不胜任；无能力；不适当；不熟练 
Chuck	1.n. [机] 卡盘；抚弄；赶走；咯咯声；恰克（人名） 2.vt. 丢弃，抛掷；驱逐；轻拍 3.vi. 咯咯叫 
fuss	1.n. 大惊小怪，大惊小怪的人；小题大作；忙乱 2.vt. 使烦恼，使烦忧 3.vi. 小题大作；忙乱；焦燥；焦急；无事自扰 4.n. (Fuss)人名；(匈)富什；(法)菲斯 
denounce	1.vt. 谴责；告发；公然抨击；通告废除 
hypothesis	1.n. 假设 
reminiscent	1.n. 回忆录作者；回忆者 2.adj. 怀旧的，回忆往事的；耽于回想的 
rupees	1.n. 卢比（rupee复数） 
dared	1.v. 敢于（竟敢） 
translates	1.vt. 翻译；转化；解释；转变为；调动 2.vi. 翻译 
onerous	1.adj. 繁重的；麻烦的；负有义务的；负有法律责任的 
paramilitary	1.n. 准军事部队 2.adj. 准军事的；辅助军事的 
well-connected	1.adj. 有好亲戚的；出身名门的；血统关系好的；精心构思的 
Ibrahim	1.n. 易卜拉欣（与阿丹、努哈、穆萨、尔撒和穆罕默德并称为安拉的六大使者，亦系犹太教和基督教推崇的圣人和希伯来人的祖先） 
Cohen	1.科恩（姓氏） 
derided	1.vt. 嘲笑；嘲弄 
free-market	1.adj. free market的变形 
Fukushima	1.n. 福岛（日本城市） 
dispatch	1.n. 派遣；急件 2.vt. 派遣；分派 
spinning	1.n. 纺纱 2.v. 旋转，纺织（spin的现在分词） 3.adj. 纺织的 
insider	1.n. 内部的人，会员；熟悉内情者 
protects	1.保护 2.保险 
loathe	1.vt. 讨厌，厌恶 
uphold	1.vt. 支撑；鼓励；赞成；举起 
barometer	1.n. [气象] 气压计；睛雨表；显示变化的事物 
anticipation	1.n. 希望；预感；先发制人；预支 
stringent	1.adj. 严厉的；迫切的；银根紧的 
home-grown	1.adj. 在当地出产的；本国产的 
weekends	1.n. 周末（weekend的复数） 2.adv. 在每周末 
Connecticut	1.n. 美国康乃迪克州（位于美国东北部） 
grabbing	1.v. 抓；夺走；强烈吸引（grab的ing形式） 
unreliable	1.adj. 不可靠的；靠不住的 
upshot	1.n. 结果，结局；要点 
translate	1.vt. 翻译；转化；解释；转变为；调动 2.vi. 翻译 
Hawking	1.n. 利用鹰行猎 2.v. 袭击；翱翔；攫取（hawk的现在分词） 
blast	1.n. 爆炸；冲击波；一阵 2.vt. 爆炸；损害；使枯萎 3.vi. 猛攻 4.n. (Blast)人名；(德)布拉斯特 
organisms	1.n. [生物] 生物体（organism的复数）；[生物] 有机体 
magnitude	1.n. 大小；量级；[地震] 震级；重要；光度 
reassuring	1.v. 使放心（reassure的ing形式） 2.adj. 安心的；可靠的；鼓气的 
schoolchildren	1.n. 小学生（schoolchild的复数） 
spacecraft	1.n. [航] 宇宙飞船，航天器 
Nieto	1.n. (Nieto)人名；(意、西、葡)涅托 
long-awaited	1.adj. 被期待已久的 
surging	1.v. 冲击（surge的ing形式）；浪涌 
extortion	1.n. 勒索；敲诈；强夺；被勒索的财物 
Supporters	1.n. 支持者，支持单位；支持单元 
kidnapping	1.n. 绑架；诱拐 2.v. 绑架（kidnap的ing形式）；诱拐 
bypass	1.n. 旁路；[公路] 支路 2.vt. 绕开；忽视；设旁路；迂回 
Uganda	1.n. 乌干达（非洲国家） 
trap	1.n. 陷阱；圈套；[建] 存水弯 2.vt. 诱捕；使…受限制；使…陷入困境 3.vi. 设陷阱 4.n. (Trap)人名；(英)特拉普 
racism	1.n. 种族主义，种族歧视；人种偏见 
suspend	1.vt. 延缓，推迟；使暂停；使悬浮 2.vi. 悬浮；禁赛 
disagreement	1.n. 不一致；争论；意见不同 
Rhodes	1.n. 罗兹岛（希腊东南端佐泽卡尼索斯群岛中最大的岛屿）；罗兹市（罗兹岛上的港口城市） 
charitable	1.adj. 慈善事业的；慷慨的，仁慈的；宽恕的 
owe	1.vt. 欠；感激；应给予；应该把……归功于 2.vi. 欠钱 3.n. (Owe)人名；(瑞典、挪)奥弗 
probability	1.n. 可能性；机率；[数] 或然率 
incoming	1.n. 进入；到来；常作 incomings 收入，收益 2.adj. 进来的，到来的； 即将就任的 
upstart	1.n. 暴发户；自命不凡的人；傲慢自负的人 2.adj. 暴富的；自命不凡的 3.vt. 使…突然跳起；使…崛起 4.vi. 突然跳起；崛起 
indirectly	1.adv. 间接地；不诚实；迂回地 
deliberate	1.adj. 故意的；深思熟虑的；从容的 2.vt. 仔细考虑；商议 
intimidation	1.n. 恐吓，威胁 
blown	1.v. 风吹（blow的过去分词） 2.adj. 吹制的，吹出的；开花的，盛开的；喘气的 3.n. (Blown)人名；(英)布洛恩 
Keep	1.n. 保持；生计；生活费 2.vt. 保持；经营；遵守；饲养 3.vi. 保持；继续不断 4.n. (Keep)人名；(英)基普 
quicker	1.adj. 快些（quick的形容词比较级） 
longtime	1.adj. 长时间的；为时甚久的 2.adv. 长久地 
designing	1.n. 设计；阴谋 2.v. 计划；企图（design的现在分词） 3.adj. 有计划的；狡猾的 
delivers	1.交付 2.递送 
commissioners	1.委员 2.政府的特派员 3.地方长官（commissioner的名词复数） 
centralised	1.vt. 把…集中起来；形成中心 
rewarding	1.adj. 有益的，值得的；有报酬的，报答的 
meritocracy	1.n. 英才教育（制度）；精英管理的社会 
bitterly	1.adv. 苦涩地，悲痛地；残酷地；怨恨地 
peanuts	1.n. [作物] 花生；小人物；小零碎；微不足道的钱（peanut的复数形式） 
thrived	1.v. 兴盛，繁荣（thrive的过去式和过去分词形式） 
pharmaceuticals	1.n. 药物（pharmaceutical的复数） 
enrich	1.vt. 使充实；使肥沃；使富足 2.n. (Enrich)人名；(西)恩里奇 
Roger	1.n. 罗杰（男子名） 2.int. 好；知道了 
titans	1.n. 泰坦巨神；（美）大力神Ⅱ型洲际导弹（Titan的复数） 
Above	1.prep. 超过；在……上面；在……之上 2.n. 上文 3.adj. 上文的 4.adv. 在上面；在上文 
assassination	1.n. 暗杀，行刺 
venue	1.n. 审判地；犯罪地点；发生地点；集合地点 
curse	1.n. 诅咒；咒骂 2.vt. 诅咒；咒骂 3.vi. 诅咒；咒骂 
receipts	1.n. 企业、银行等）收到的款，进款；收到( receipt的名词复数 )；收入；收据；收条 
proceeding	1.n. 进行；程序；诉讼；事项 2.v. 开始；继续做；行进（proceed的ing形式） 
Pasok	1.泛希腊社会主义运动党 
diagnosis	1.n. 诊断 
Bristol	1.n. 布里斯托尔（英国西部的港口城市） 
cubicle	1.n. 小卧室；小隔间 
sunlight	1.n. 日光 2.n. (Sunlight)人名；(英)森莱特 
identifying	1.n. 识别，标识；标识关系 2.v. 识别（identify的现在分词） 
aluminium	1.n. 铝 2.adj. 铝的 
financiers	
ivory	1.n. 象牙；乳白色；长牙 2.adj. 乳白色的；象牙制的 3.n. (Ivory)人名；(英)艾沃里 
Albert	1.n. 艾伯特（男子名） 
miniature	1.n. 缩图；微型画；微型图画绘画术 2.adj. 微型的，小规模的 3.vt. 是…的缩影 
Depression	1.n. 沮丧；洼地；不景气；忧愁 
Gul	1.n. 古尔（姓氏）；图形界面编程 
Michel	1.n. 米歇尔（男子名） 
